num_ratings,rmse,mae,std_error,num_users,num_predictions,model
11,0.9376964682470069,0.7857472708595034,0.5117381096808723,1,9,SVD
13,0.8696221982580277,0.7358993575176732,0.46335181375300577,7,49,SVD
15,1.0939133797264915,0.8741607768362051,0.6576392769488126,18,95,SVD
17,0.8883932513925726,0.7002047300872458,0.5467686028689962,28,140,SVD
19,1.0480554067484578,0.853876624446684,0.6077127988105991,29,159,SVD
21,1.0809840753651399,0.8570540848232853,0.6587752779823689,26,143,SVD
23,1.0701842974485414,0.7547368843475651,0.7587270035465713,18,111,SVD
25,0.8536287259470589,0.6557865317277197,0.5464668577018441,27,176,SVD
27,1.021211731086661,0.8257967311762343,0.600777128798743,17,122,SVD
29,0.8895219880919171,0.6899644461805658,0.5614253559519213,16,106,SVD
11,0.8722003268909,0.7082133943418031,0.5090846671266525,1,9,SVD++
13,0.9073075759319198,0.7648303307740126,0.4880999922880258,7,49,SVD++
15,1.0658336889628612,0.8483418749663043,0.6452267165166343,18,95,SVD++
17,0.9041662627664416,0.7058389992055525,0.5650733916276168,28,140,SVD++
19,1.0237962899598168,0.8316666165887852,0.597067401712108,29,159,SVD++
21,1.0836357673319565,0.8535468149089797,0.6676258765205659,26,143,SVD++
23,1.0719647131014947,0.7654226083754069,0.7504908904993836,18,111,SVD++
25,0.8373427529925979,0.6448154227584557,0.5341871924354392,27,176,SVD++
27,0.9920091108176747,0.8066114627390487,0.577459976208954,17,122,SVD++
29,0.8942184904538747,0.697929088510235,0.5590363996028155,16,106,SVD++
11,0.8042991765735122,0.7038233465526728,0.38926836794713504,1,9,KNN User-Based
13,0.9639090606542412,0.7930571067933789,0.5478878558389999,7,49,KNN User-Based
15,1.0708669811425278,0.8211878775386584,0.6873183840731053,18,95,KNN User-Based
17,0.9228511022412856,0.7185201164268793,0.5791226115408202,28,140,KNN User-Based
19,1.1200407471308795,0.8875973907358244,0.6831267431395546,29,159,KNN User-Based
21,1.0915115818910255,0.8586894328954667,0.6738323168533186,26,143,KNN User-Based
23,1.1235909861075248,0.77515044421142,0.8133870498728868,18,111,KNN User-Based
25,0.8933863889936808,0.6868849041974632,0.571251580675984,27,176,KNN User-Based
27,0.9967625279492298,0.8033066667281823,0.5901134944345842,17,122,KNN User-Based
29,0.903602375335036,0.6736721031148061,0.6022152025613379,16,106,KNN User-Based
11,0.8034072723852622,0.6637371713576969,0.45267671983393404,1,9,KNN Item-Based
13,0.9427473715359354,0.7827162705078864,0.5254786831262901,7,49,KNN Item-Based
15,1.0698035166417694,0.8574820960819911,0.6396905651312443,18,95,KNN Item-Based
17,0.8949770216568214,0.70893528714365,0.5462550941970838,28,140,KNN Item-Based
19,1.0793252266735414,0.8461595776157474,0.6700424718949025,29,159,KNN Item-Based
21,1.1217180454548388,0.8731861692578528,0.7041287434239711,26,143,KNN Item-Based
23,1.1493992273054947,0.7829051621847058,0.8415331786418218,18,111,KNN Item-Based
25,0.8901989782729781,0.6966320008240005,0.5542184373928786,27,176,KNN Item-Based
27,1.0259092584546816,0.8166149810695462,0.6209909655347808,17,122,KNN Item-Based
29,0.9078799896470144,0.7168225685319571,0.557145834449752,16,106,KNN Item-Based
11,1.2614352139073286,1.0384710394288308,0.7160982468579518,1,9,NMF
13,1.130552360100146,0.9517241790978447,0.61022104671057,7,49,NMF
15,1.1488700536890633,0.8882847079224616,0.7285963751863019,18,95,NMF
17,0.9456527560401978,0.7297526759008592,0.6014317642276283,28,140,NMF
19,1.0667851983570156,0.8231894992009083,0.6785202339200909,29,159,NMF
21,1.183550664075911,0.8975975951277277,0.7714342043592897,26,143,NMF
23,1.296352800637113,0.8966882838377486,0.9362054824384443,18,111,NMF
25,0.9468072303278402,0.7185687879677826,0.6165247994684301,27,176,NMF
27,1.105638444580465,0.8820191080778278,0.6666923301792987,17,122,NMF
29,0.9901400857000965,0.7769038018392017,0.6138386367751616,16,106,NMF
